event_id,cell,t_switch,t_next,old_cluster_id,new_cluster_id,old_cluster_size,new_cluster_size,old_cluster_members,new_cluster_members,label
ANS_04158,ABarppaaap,121,122,70,5,3,20,ABarppaaap|ABplpapa|Dapa,ABarapapp|ABarpappp|ABarppaaap|ABplapaaaa|ABplapaaap|ABplpapaap|ABplpapapa|ABplpapapp|ABplpappa|Daaa|Daap|Dapa|MSapap|MSappa|MSapppaa|MSapppap|MSapppp|MSpaap|MSpapaa|MSppapp,1
ANS_04159,ABarppaapp,121,122,22,25,5,7,ABarppaapp|ABarppapap|ABplapppaa|ABprappap|MSaaaa,ABalpappa|ABaraappa|ABarppaapp|ABarppapap|ABplapppaa|ABprappap|MSaaaa,1
ANS_04160,ABarppapap,121,122,22,25,5,7,ABarppaapp|ABarppapap|ABplapppaa|ABprappap|MSaaaa,ABalpappa|ABaraappa|ABarppaapp|ABarppapap|ABplapppaa|ABprappap|MSaaaa,1
ANS_04161,ABarppappa,121,122,47,3,4,3,ABaraapap|ABarppappa|ABprapppa|ABprpppap,ABaraapap|ABarppappa|ABprapppa,1
ANS_04162,ABarpppapp,121,122,14,10,3,6,ABarpppapp|ABpraaaa|Cappa,ABarpapaa|ABarpppapp|ABplaapa|ABpraaaa|Cappa|Cpppaa,1
ANS_04163,ABarppppaa,121,122,8,9,9,10,ABarpaapp|ABarpapp|ABarppppaa|ABplapppa|ABplpppap|ABplppppp|ABpraaap|ABprppaapp|ABprppappa,ABarpaapp|ABarpapp|ABarppppaa|ABplapppa|ABplpppap|ABplppppp|ABpraaapa|ABpraaapp|ABprapaapa|ABprppappa,1
ANS_04164,ABplaaaaaa,121,122,60,33,4,11,ABalapapap|ABalpaapap|ABplaaaaaa|MSaaapaa,ABalapaaap|ABalapapaa|ABalapapap|ABalpaaap|ABalpaapap|ABaraapaaa|ABarpaaaa|ABplaaaaaa|Dap|Dpp|MSaaapaa,1
ANS_04165,ABplaaaapa,121,122,56,13,3,11,ABalpappaa|ABaraapapp|ABplaaaapa,ABalpappap|ABalpapppa|ABaraapapp|ABplaaaapa|ABplaaaapp|ABplpppa|ABprpappa|Ealaa|MSaaapp|MSaapaaa|MSaapaap,1
ANS_04166,ABplaaaapp,121,122,31,13,13,11,ABalpappap|ABalpapppa|ABarapapap|ABplaaaapp|ABprpappa|Ealaa|Ealp|Epla|MSaaapp|MSaapaa|MSaapaaa|MSaapaap|MSpppa,ABalpappap|ABalpapppa|ABaraapapp|ABplaaaapa|ABplaaaapp|ABplpppa|ABprpappa|Ealaa|MSaaapp|MSaapaaa|MSaapaap,1
ANS_04167,ABplaaapaa,121,122,50,47,5,6,ABalapappp|ABplaaapaa|Capaaa|MSapapp|MSpaapa,ABalapappp|ABplaaapaa|Capaaa|MSapapap|MSapapp|MSpaapa,1
ANS_04168,ABplaapapa,121,122,41,49,6,6,ABalapppp|ABalpapapa|ABalppappa|ABalpppppa|ABplaapapa|ABplpaaaap,ABalppapap|ABalppppap|ABplaapapa|ABplpaaaaa|ABplpaapaa|MSppaaa,1
ANS_04169,ABplaapppa,121,122,24,26,5,7,ABplaapppa|ABplppaaap|ABplppapaa|ABpraapap|MSaapa,ABplaappap|ABplaapppa|ABplpaappp|ABplppaaap|ABplppapaa|ABpraapap|MSaapa,1
