adult_neuron,input_wormbase_raw,after_step1_spaces_removed,after_step2_dots_removed,after_step3_suffix_stripped,output_sulston_final,rules_applied
URBR,AB praapaapa,ABpraapaapa,ABpraapaapa,ABpraapaapa,ABpraapaapa,spaces_removed
URXL,AB plaaaaappp,ABplaaaaappp,ABplaaaaappp,ABplaaaaappp,ABplaaaaappp,spaces_removed
URXR,AB arpapaappp,ABarpapaappp,ABarpapaappp,ABarpapaappp,ABarpapaappp,spaces_removed
URYDL,AB alapapapp,ABalapapapp,ABalapapapp,ABalapapapp,ABalapapapp,spaces_removed
URYDR,AB alapppapp,ABalapppapp,ABalapppapp,ABalapppapp,ABalapppapp,spaces_removed
URYVL,AB plpaaappp,ABplpaaappp,ABplpaaappp,ABplpaaappp,ABplpaaappp,spaces_removed
URYVR,AB prpaaappp,ABprpaaappp,ABprpaaappp,ABprpaaappp,ABprpaaappp,spaces_removed
VA1,W.pa,W.pa,W.pa,W.pa,W.pa,none
VA10,P10.aaaa,P10.aaaa,P10aaaa,P10aaaa,P10aaaa,dots_removed
VA11,P11.aaaa,P11.aaaa,P11aaaa,P11aaaa,P11aaaa,dots_removed
VA12,P12.aaaa,P12.aaaa,P12aaaa,P12aaaa,P12aaaa,dots_removed
VA2,P2.aaaa,P2.aaaa,P2aaaa,P2aaaa,P2aaaa,dots_removed
VA3,P3.aaaa,P3.aaaa,P3aaaa,P3aaaa,P3aaaa,dots_removed
VA4,P4.aaaa,P4.aaaa,P4aaaa,P4aaaa,P4aaaa,dots_removed
VA5,P5.aaaa,P5.aaaa,P5aaaa,P5aaaa,P5aaaa,dots_removed
VA6,P6.aaaa,P6.aaaa,P6aaaa,P6aaaa,P6aaaa,dots_removed
VA7,P7.aaaa,P7.aaaa,P7aaaa,P7aaaa,P7aaaa,dots_removed
VA8,P8.aaaa,P8.aaaa,P8aaaa,P8aaaa,P8aaaa,dots_removed
VA9,P9.aaaa,P9.aaaa,P9aaaa,P9aaaa,P9aaaa,dots_removed
VB1,P1.aaap,P1.aaap,P1aaap,P1aaap,P1aaap,dots_removed
VB10,P9.aaap,P9.aaap,P9aaap,P9aaap,P9aaap,dots_removed
VB11,P10.aaap,P10.aaap,P10aaap,P10aaap,P10aaap,dots_removed
VB2,W.aap,W.aap,W.aap,W.aap,W.aap,none
VB3,P2.aaap,P2.aaap,P2aaap,P2aaap,P2aaap,dots_removed
VB4,P3.aaap,P3.aaap,P3aaap,P3aaap,P3aaap,dots_removed
VB5,P4.aaap,P4.aaap,P4aaap,P4aaap,P4aaap,dots_removed
VB6,P5.aaap,P5.aaap,P5aaap,P5aaap,P5aaap,dots_removed
VB7,P6.aaap,P6.aaap,P6aaap,P6aaap,P6aaap,dots_removed
VB8,P7.aaap,P7.aaap,P7aaap,P7aaap,P7aaap,dots_removed
VB9,P8.aaap,P8.aaap,P8aaap,P8aaap,P8aaap,dots_removed
VC1,P3.aap,P3.aap,P3aap,P3aap,P3aap,dots_removed
VC2,P4.aap,P4.aap,P4aap,P4aap,P4aap,dots_removed
VC3,P5.aap,P5.aap,P5aap,P5aap,P5aap,dots_removed
VC4,P6.aap,P6.aap,P6aap,P6aap,P6aap,dots_removed
VC5,P7.aap,P7.aap,P7aap,P7aap,P7aap,dots_removed
VD1,W.pp,W.pp,W.pp,W.pp,W.pp,none
VD10,P9.app,P9.app,P9app,P9app,P9app,dots_removed
VD11,P10.app,P10.app,P10app,P10app,P10app,dots_removed
VD12,P11.app,P11.app,P11app,P11app,P11app,dots_removed
VD13,P12.app,P12.app,P12app,P12app,P12app,dots_removed
VD2,P1.app,P1.app,P1app,P1app,P1app,dots_removed
VD3,P2.app,P2.app,P2app,P2app,P2app,dots_removed
VD4,P3.app,P3.app,P3app,P3app,P3app,dots_removed
VD5,P4.app,P4.app,P4app,P4app,P4app,dots_removed
VD6,P5.app,P5.app,P5app,P5app,P5app,dots_removed
VD7,P6.app,P6.app,P6app,P6app,P6app,dots_removed
VD8,P7.app,P7.app,P7app,P7app,P7app,dots_removed
VD9,P8.app,P8.app,P8app,P8app,P8app,dots_removed
